VendorName,ProfitMargin,SalesToPurchaseRatio,UnsoldInventoryValue,ActionBucket
PERNOD RICARD USA,26.301799928051373,1.3568852414628034,19678.16999999864,Deprioritise / Exit
MOET HENNESSY USA INC,30.842637030577425,1.4459776328402556,19128.060000000412,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,15.856187945924235,1.1884415212343138,76579.8000000041,Deprioritise / Exit
REMY COINTREAU USA INC,26.744397167125893,1.3650832992002095,13031.550000000245,Deprioritise / Exit
REMY COINTREAU USA INC,16.906097983077323,1.203457745667477,35351.21000000047,Deprioritise / Exit
MARTIGNETTI COMPANIES,40.41573026099663,1.678295302401614,-3020.059999999923,Scale / Prioritise
"STOLI GROUP,(USA) LLC",22.262616461926765,1.2863823742025386,-2835.6900000001933,Deprioritise / Exit
BROWN-FORMAN CORP,23.197622835491423,1.3020430316343303,27151.379999998735,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,27.37613696545979,1.3769578733706245,22526.6699999992,Deprioritise / Exit
SIDNEY FRANK IMPORTING CO,21.21167706683686,1.2692236143270992,37596.71999999796,Deprioritise / Exit
E & J GALLO WINERY,36.57299135840508,1.5766154220683335,17293.759999999562,Scale / Prioritise
WILLIAM GRANT & SONS INC,19.3175162326216,1.2394263950564208,34359.150000001915,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,10.59555947750528,1.1185126758311223,13563.759999999975,Deprioritise / Exit
PROXIMO SPIRITS INC.,27.296930144201355,1.3754577378691557,22253.439999999555,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,31.41638097214704,1.4580741205766399,3953.279999999544,Deprioritise / Exit
PERNOD RICARD USA,25.396767200477765,1.3404244862783,-4978.589999999848,Deprioritise / Exit
HEAVEN HILL DISTILLERIES,26.67022473547222,1.3637025292831295,4196.080000000173,Deprioritise / Exit
SIDNEY FRANK IMPORTING CO,23.657232673314745,1.3098817805762915,5598.719999999747,Deprioritise / Exit
BACARDI USA INC,27.51683826623146,1.3796307667607148,3933.280000000116,Deprioritise / Exit
ULTRA BEVERAGE COMPANY LLP,33.17005558979964,1.4963352264099272,6071.870000000797,Deprioritise / Exit
WILLIAM GRANT & SONS INC,20.934244035630815,1.2647700484273467,52354.9000000008,Deprioritise / Exit
MAJESTIC FINE WINES,31.783500334416033,1.465921008703576,20530.56000000004,Deprioritise / Exit
PERNOD RICARD USA,25.339526769084237,1.339396814305103,14529.560000000929,Deprioritise / Exit
MOET HENNESSY USA INC,35.7866104536734,1.5573076068170366,-7721.64999999976,Scale / Prioritise
DISARONNO INTERNATIONAL LLC,34.60520542763753,1.5291737003523302,782.0999999999618,Scale / Prioritise
CONSTELLATION BRANDS INC,38.200135994352834,1.618126538124132,9972.800000000527,Scale / Prioritise
MOET HENNESSY USA INC,19.135798671628248,1.2366411632994676,16889.40000000033,Deprioritise / Exit
EDRINGTON AMERICAS,24.536436594877813,1.3251428303637776,21695.939999999657,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,28.877444651268654,1.4060237221465883,7451.470000000397,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,33.305199383250525,1.4993672531481619,1895.1400000001186,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,26.55880577267327,1.3616336315346982,-558.6000000000191,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,26.86052329409897,1.3672506901041557,-2341.710000000233,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,24.554394482044927,1.3254582465535558,28219.39999999974,Deprioritise / Exit
PERNOD RICARD USA,31.200847549802013,1.4535062778918322,14594.159999999532,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,22.144627459075164,1.2844328751677965,6339.300000000122,Deprioritise / Exit
BROWN-FORMAN CORP,30.76309278492347,1.4443163916805446,5187.929999999884,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,28.81566376247377,1.4048034340914881,4529.2199999999175,Deprioritise / Exit
CONSTELLATION BRANDS INC,41.09785931443013,1.6977311662375367,3480.640000000079,Scale / Prioritise
SAZERAC NORTH AMERICA INC.,23.789720907315758,1.312158952710087,3048.960000000103,Deprioritise / Exit
E & J GALLO WINERY,28.053149390563583,1.3899149045849157,6746.1399999999,Deprioritise / Exit
SAZERAC CO INC,22.895312085488133,1.296938003443744,3999.159999999583,Deprioritise / Exit
PERNOD RICARD USA,26.541049611874463,1.3613045036941442,23775.269999999535,Deprioritise / Exit
DISARONNO INTERNATIONAL LLC,30.104947988777553,1.4307164401844048,14817.600000000446,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,27.71330779535527,1.3833804943916714,27014.219999999747,Deprioritise / Exit
MOET HENNESSY USA INC,32.848285423211756,1.4891652525960393,36316.52999999968,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,29.535238879079124,1.4191490669839248,8782.739999999958,Deprioritise / Exit
BACARDI USA INC,27.129384962904908,1.3722952653699243,6076.94000000022,Deprioritise / Exit
HEAVEN HILL DISTILLERIES,30.08329814141445,1.4302734159609147,10181.529999999799,Deprioritise / Exit
MOET HENNESSY USA INC,30.919609165455785,1.4475887989619507,653.2400000000151,Deprioritise / Exit
BROWN-FORMAN CORP,26.814613084987393,1.3663929947671956,-1107.6999999999714,Deprioritise / Exit
MARTIGNETTI COMPANIES,29.393049999798958,1.416291172465533,-5385.31000000007,Deprioritise / Exit
PERNOD RICARD USA,18.46341446577778,1.226443311855736,20307.700000000266,Deprioritise / Exit
PROXIMO SPIRITS INC.,24.148086845021627,1.3183583095087261,1332.8000000000493,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,23.57403688601463,1.3084558692555195,2536.3800000000897,Deprioritise / Exit
CASTLE BRANDS CORP.,29.37606443783495,1.4159505443020428,-1653.2999999999886,Deprioritise / Exit
CONSTELLATION BRANDS INC,35.12750944585011,1.5414854454605642,3665.200000000182,Scale / Prioritise
MARTIGNETTI COMPANIES,25.105081225189224,1.3352040650537798,5395.769999999759,Deprioritise / Exit
PERNOD RICARD USA,22.38151925121974,1.2883529674287197,15276.720000000216,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,26.616889377370534,1.3627113807460018,-4011.449999999907,Deprioritise / Exit
WILLIAM GRANT & SONS INC,21.038324391579298,1.2664371573864588,43629.09000000062,Deprioritise / Exit
PERNOD RICARD USA,18.924991137958337,1.2334257054496456,21090.770000000295,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,26.853328736885608,1.3671162101183258,36.059999999996705,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,23.918479938953958,1.3143796275332345,24230.400000000285,Deprioritise / Exit
CONSTELLATION BRANDS INC,47.168542639807654,1.8928116882754855,1735.5799999999492,Scale / Prioritise
JIM BEAM BRANDS COMPANY,24.05534623808291,1.3167483824930626,38854.76000000001,Deprioritise / Exit
E & J GALLO WINERY,39.049915069931785,1.6406868032216222,-16683.49999999917,Scale / Prioritise
BROWN-FORMAN CORP,24.780224078983,1.3294376216302874,9695.399999999929,Deprioritise / Exit
CASTLE BRANDS CORP.,21.196182626122567,1.2689740590301513,28321.020000000542,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,27.082562704637088,1.3714140774714165,11398.930000000313,Deprioritise / Exit
MARTIGNETTI COMPANIES,41.57375317264989,1.7115595375397046,10243.949999999466,Scale / Prioritise
BROWN-FORMAN CORP,20.633044868828517,1.2599702210413368,6797.159999999782,Deprioritise / Exit
BACARDI USA INC,33.2704120157405,1.4985856052878443,-11910.780000000314,Deprioritise / Exit
SAZERAC CO INC,20.076762086178935,1.2512005595647555,2339.350000000057,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,31.47943248700202,1.459415816733137,-5372.999999999593,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,28.336896482327468,1.3954182151117613,-16553.99000000029,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,26.643750703086027,1.3632103734644856,-671.9200000000784,Deprioritise / Exit
WILLIAM GRANT & SONS INC,10.53010038785353,1.1176943355642701,51286.82999999933,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,24.37137671361591,1.322250698936148,5672.7599999998165,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,31.500704259396894,1.4598690237442074,-8024.550000000103,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,29.444798059009763,1.4173299381048658,11633.399999999689,Deprioritise / Exit
WILLIAM GRANT & SONS INC,28.458746325634067,1.3977949066306503,-8035.999999999809,Deprioritise / Exit
SAZERAC CO INC,18.879316497848446,1.2327312305911193,18169.059999999976,Deprioritise / Exit
WILLIAM GRANT & SONS INC,15.56276405317819,1.1843116236417255,39242.99999999929,Deprioritise / Exit
REMY COINTREAU USA INC,27.928311414248068,1.3875073827501427,14299.320000000205,Deprioritise / Exit
CONSTELLATION BRANDS INC,34.091267437915185,1.5172496285799737,6811.079999999932,Scale / Prioritise
REMY COINTREAU USA INC,25.47675546327173,1.3418632082063426,9385.050000000188,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,23.89314796763074,1.3139421396311157,18271.439999999846,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,19.785397995053128,1.246655814534029,31897.79999999958,Deprioritise / Exit
PERNOD RICARD USA,29.564630038956057,1.419741247264088,7939.4699999996765,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,27.554794132955777,1.3803535900432942,11866.679999999435,Deprioritise / Exit
MARTIGNETTI COMPANIES,36.46510096910661,1.573938127317645,986.8500000000213,Scale / Prioritise
MARTIGNETTI COMPANIES,47.39518817002611,1.9009667846206537,-6942.599999999637,Scale / Prioritise
E & J GALLO WINERY,26.680341336236868,1.3638906921074243,19132.639999999334,Deprioritise / Exit
SOUTHERN WINE & SPIRITS NE,28.95546067019092,1.4075677165808815,1030.2000000000303,Deprioritise / Exit
MOET HENNESSY USA INC,24.14253018720685,1.318261738056748,16310.139999999872,Deprioritise / Exit
M S WALKER INC,33.83325082514661,1.5113331279996585,399.6000000000189,Scale / Prioritise
EDRINGTON AMERICAS,29.9712938442036,1.4279858288046183,8644.410000000049,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,17.531158320198333,1.2125791749114876,7981.619999999831,Deprioritise / Exit
PERNOD RICARD USA,25.11345592260108,1.3353533833347295,0.0,Deprioritise / Exit
CONSTELLATION BRANDS INC,34.73585462346346,1.532234880623313,-269.7300000000004,Scale / Prioritise
MARTIGNETTI COMPANIES,37.74849283746828,1.6063868098632728,2967.090000000063,Scale / Prioritise
DIAGEO NORTH AMERICA INC,30.83995134316917,1.445921481290386,-1309.4899999999589,Deprioritise / Exit
M S WALKER INC,24.215206257655748,1.3195259241581292,3116.879999999996,Deprioritise / Exit
STE MICHELLE WINE ESTATES,31.309683628081057,1.4558092797033713,1614.619999999949,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,30.920449093363246,1.4476063999772266,5853.399999999902,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,28.070246856533863,1.3902452827906537,-10787.0,Deprioritise / Exit
TRINCHERO FAMILY ESTATES,43.47517949928938,1.7691343221292108,-31.560000000001132,Scale / Prioritise
BROWN-FORMAN CORP,32.25138994809312,1.476045042450068,5515.279999999959,Deprioritise / Exit
BACARDI USA INC,28.665204751955482,1.4018404293764517,-7905.320000000051,Deprioritise / Exit
BROWN-FORMAN CORP,27.11054638543412,1.3719405900446546,16327.559999999507,Deprioritise / Exit
MARTIGNETTI COMPANIES,43.631400223723745,1.7740373256900877,3673.599999999752,Scale / Prioritise
CONSTELLATION BRANDS INC,40.883593796316106,1.6915777940805952,2604.840000000054,Scale / Prioritise
SAZERAC CO INC,31.79279186997695,1.466120703978537,9656.120000000345,Deprioritise / Exit
SAZERAC CO INC,30.13447318704401,1.4313210614974683,354.9599999999904,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,30.503131202536636,1.4389137486385575,-1888.8900000000306,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,32.5370163798626,1.4822943580892922,-78.10000000000034,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,21.590365874250768,1.2753534832164282,2095.1699999999573,Deprioritise / Exit
MHW LTD,29.009614693744872,1.4086414599469539,1510.6200000000565,Deprioritise / Exit
